time,device_id,f_cnt,BatV,Bat_status,Ext_sensor,Hum_SHT,TempC_DS,TempC_SHT,Exti_pin_level,Exti_status,Work_mode
2026-01-05 12:30:00+00:00,blackbulbmodel1,4692.0,3.018,3.0,Temperature Sensor,98.0,0.62,0.72,,False,
2026-01-05 13:00:00+00:00,blackbulbmodel1,,3.018,3.0,Temperature Sensor,95.95,0.9950000000000001,0.73,,False,
2026-01-05 13:30:00+00:00,blackbulbmodel1,4695.0,3.018,3.0,Temperature Sensor,93.9,1.37,0.74,,False,
2026-01-05 14:00:00+00:00,blackbulbmodel1,4696.0,3.017,3.0,Temperature Sensor,94.5,0.81,0.38,,False,
2026-01-05 14:30:00+00:00,blackbulbmodel1,,3.017,3.0,Temperature Sensor,95.5,0.15500000000000003,-0.03500000000000003,,False,
2026-01-05 15:00:00+00:00,blackbulbmodel1,4699.0,3.016,3.0,Temperature Sensor,96.5,-0.5,-0.45,,False,
2026-01-03 01:30:00+00:00,raingaugetest1,9.0,3.086,3.0,Temperature Sensor,60.5,1.43,16.71,Low,False,Interrupt Sensor send
2026-01-03 02:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,93.8,1.31,1.61,,False,
2026-01-03 02:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,92.6,1.215,1.63,,False,
2026-01-03 03:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,91.4,1.12,1.65,,False,
2026-01-03 03:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,86.2,1.5,2.06,,False,
2026-01-03 04:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,90.2,1.43,1.85,,False,
2026-01-03 04:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,93.8,1.12,1.42,,False,
2026-01-03 05:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,95.7,0.68,1.02,,False,
2026-01-03 05:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,97.65,0.465,0.7,,False,
2026-01-03 06:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.6,0.25,0.38,,False,
2026-01-03 06:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.6125,0.25,0.39625,,False,
2026-01-03 07:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.625,0.25,0.4125,,False,
2026-01-03 07:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.6375,0.25,0.42875,,False,
2026-01-03 08:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.65,0.25,0.445,,False,
2026-01-03 08:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.6625,0.25,0.46125,,False,
2026-01-03 09:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.675,0.25,0.47750000000000004,,False,
2026-01-03 09:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.6875,0.25,0.49375,,False,
2026-01-03 10:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.7,0.25,0.51,,False,
2026-01-03 10:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.15,0.78,0.835,,False,
2026-01-03 11:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,98.6,1.31,1.16,,False,
2026-01-03 11:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,97.8,1.56,1.375,,False,
2026-01-03 12:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,97.0,1.81,1.59,,False,
2026-01-03 12:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,96.9,4.06,2.04,,False,
2026-01-03 13:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,95.56666666666668,3.163333333333333,1.9366666666666668,,False,
2026-01-03 13:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,94.23333333333333,2.2666666666666666,1.8333333333333333,,False,
2026-01-03 14:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,92.9,1.37,1.73,,False,
2026-01-03 14:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,92.9,1.84,1.67,,False,
2026-01-03 15:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,92.9,2.31,1.61,,False,
2026-01-03 15:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,92.46666666666667,1.6633333333333336,1.36,,False,
2026-01-03 16:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,92.03333333333333,1.0166666666666668,1.11,,False,
2026-01-03 16:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,91.6,0.37,0.86,,False,
2026-01-03 17:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,93.3,0.0,0.845,,False,
2026-01-03 17:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,95.0,-0.37,0.83,,False,
2026-01-03 18:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,96.3,-0.68,0.3,,False,
2026-01-03 18:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,96.13333333333333,-0.26666666666666666,0.4766666666666667,,False,
2026-01-03 19:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,95.96666666666667,0.14666666666666672,0.6533333333333333,,False,
2026-01-03 19:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,95.8,0.56,0.83,,False,
2026-01-03 20:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,95.4,0.43,0.69,,False,
2026-01-03 20:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,96.1,0.68,0.87,,False,
2026-01-03 21:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,95.2,0.25,0.66,,False,
2026-01-03 21:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,96.2,0.0,0.3,,False,
2026-01-03 22:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,97.6,0.43,0.49,,False,
2026-01-03 22:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,98.55,0.33999999999999997,0.48,,False,
2026-01-03 23:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.5,0.25,0.47,,False,
2026-01-03 23:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.8,0.43,0.54,,False,
2026-01-04 00:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.7,0.5,0.68,,False,
2026-01-04 00:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.4,-0.06,0.34,,False,
2026-01-04 01:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.06666666666668,0.16666666666666666,0.54,,False,
2026-01-04 01:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,98.73333333333333,0.3933333333333333,0.74,,False,
2026-01-04 02:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,98.4,0.62,0.94,,False,
2026-01-04 02:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,97.9,0.46499999999999997,0.845,,False,
2026-01-04 03:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,97.4,0.31,0.75,,False,
2026-01-04 03:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,96.85,0.43500000000000005,0.825,,False,
2026-01-04 04:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,96.3,0.56,0.9,,False,
2026-01-04 04:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,96.6,0.31,0.78,,False,
2026-01-04 05:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,97.3,0.43,0.69,,False,
2026-01-04 05:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,98.05,0.33999999999999997,0.5599999999999999,,False,
2026-01-04 06:00:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,98.8,0.25,0.43,,False,
2026-01-04 06:30:00+00:00,raingaugetest1,,3.086,3.0,Temperature Sensor,99.1,0.155,0.435,,False,
